overall,reviewText,reviewTime,summary,year,sentiment
5,"All other issues aside, I really enjoyed playing the game. That's what most people care about here in the review section honestly. Whatever other qualms people have about it, the average user will install it easily, download any patches, and start to play. It will provide them with many hours of entertainment.. There will be sequels that cost more. Make sure your pc/mac is up to the challenge speed/ram wise though.  If you're a fan of the first one, there's no reall reason not to buy and enjoy this one.",2010-09-24,Just based on playing the game...,2010,Positive
3,"PSN ID GremDUDE. What can I say? When the demo for this game first came on PSN, I played it three times all the way through. I loved the graphics, the smooth framerate, the cool setting, the gory violence. Looked like an awesome game. While waiting for this game to come out, I picked up Darksiders...

To put it simply, there is no comparison. If you have not picked this game up yet, please don't. Buy Darksiders instead. A game which is better in every way that you can think of. This God of War clone copies everything about God of War--right down to the ridiculously difficult and frustrating platforming found in God of War I. Apparently, the designers did not look very carefully at God of War 2 to notice that the emphasis was moved from making platforming challenges that require redoing the same thing 40 times to improving and actually perfecting the combat.

There were several times during this game where I was so close to just either throwing the controller at the wall or smashing the disk. More times than I care to say. Not only is the platforming difficult and many times just requires trial and error. There are too many stupid time based parts where you have to kill so many creatures in order to move some switch or pull some lever. This was done a couple times in God of War but not even close to the extent done in this game.

There are also some minor annoyances that continue throughout the game. No, the camera has not been an issue for me. For some reason, this is one of the most common complaints but not for me. The checkpoint system is to put it simply total crap. Not that they are far apart but if you find a collectible or Punish or absolve a sinner, this should be saved when you die!! My God, how many times I have had to do some stupid platforming part in order to find a collectible or find a soul just to die and have to do it over again. Did they test this game at all? Anyone with half a brain given this game to test would have brought this up!!

Uggh. It is truly awful. I wonder how many of the reviews on this page actually finished the game or just reviewed it after the first hour or two of gameplay. I have not finished the game yet but I am one or two times dying away from just giving up. (I am on the part early in Anger with the elevator that you have to guide a wheel along a track before the fire burns you up. Uggh, simply annoying and horribly frustrating and unnecessary!!) Maybe I am just getting to old for this kind of game. Odd considering I just finished God of War I and II on the GOW collection for the PS3(well worth the money BTW) and Darksiders. Probably more likely this game just sucks. We shall see. If I go further in the game, I will post my continuing impressions but I doubt it.

Update, I did make it past the frustrating elevator sequence and the next part is totally badass. If you get to the part with the elevator and are thinking about quitting, don't. The next part makes it well worth the effort. Still not done with the game but I still stick with my negatives mentioned in the rest of my review as they made too many frustrating and irritating parts to what could have been one of the my favorite game ever. Oh well.

Second and final update... Finished the game. Overall, not too bad an experience and I actually enjoyed the Fraud level of Hell which many people complained about(There is a similar part to Darksiders where you have to kill your enemies in a certain way in order to proceed) The difficulty level is seriously skewed though. One of the other reviews complained going from Zealot to the third difficulty level(Can't remember what that one is called) There is just as much a difference from Classic(easy) and Zealot. On these kinds of games, I generally play on the number two difficulty level and that is what I did on this game until the boss battle where I think you fight Dante's father? AFter dying about 10 times( and for the most part this game was just annoying me more than I was enjoying it) I switched it back to Classic. The difference is ridiculous. I killed the boss in less than a minute!! The final battle with Lucifer(shouldn't be a spoiler--who did you think you were going to fight in Hell?) took me about 3 minutes on Classic!! It is so easy in fact that you cannot level up your powers as the creatures die so fast, you cannot absolve or punish them!! Literally, I had to keep switching the difficult level between 1 and 2 just so I could get experience without being killed continually by the bosses.

For the most part, I have to sadly say that this game overall is a big disappointment. I would recommend getting Darksiders or Heavenly Sword over this game. Get this one if you have already finished those games( and God of War III of course) and still have an itch for some hack and slash. This game has huge potential but just doesn't deliver where it counts",2010-02-21,Not Bad. Heavenly Sword and Darksiders are better--AND GOW!!,2010,Negative
1,"I'm trying really hard to like this game, I loved F:3. But the bugs, and the constant crashes even after a patch (Nov 1 2010) keep me from loving it.  Wait until you hear they patched most of the bugs before picking this one up. Or if you do decide to get it, save often, with tons of multiple save files in case you need to go back.",2010-11-01,OMG Soooo Buggggy!,2010,Negative
1,"This is a convenient way to charge Wii remotes especially if you have the motion plus accessory. You don't have to remove batteries and you can charge the remotes with wii motion plus and the sleeves on. Sounds great! but this product does not seem to be of high quality. Perhaps the high market demand caused quality control to drop!

The battery packs worked for a day and then my wii remotes went crazy. When the induction battery packs are in, the wii remotes would 'blink' constantly (when the console is off) and lose the charge. When I switch the console on, I need to sync the remotes every time. Secondly, the charging pad indicator light stopped working. Even after charging, it won't turn green and stay red.

I called both Nintendo and Energizer (PDP) about this problem. Nintendo said they do not recommend these chargers since they are known to cause issues like this and use of such chargers would void warranty. The PDP drep idn't even ask a question and said mail the unit back to us (No RMA or anything). We will repair and mail it back to you. I am choosing to return this to Amazon and wait until the issues with this charger are resolved.",2010-08-25,Didn't last long! Not recommended by Nintendo!!,2010,Negative
5,"I've played about 100 PC games since around 1997, it's in the top 20. I still remember a lot about it, even though I played it around 3 years ago.",2010-08-13,It's very fun!,2010,Positive
5,"For the Hobbyzone Mini SuperCub, get the 7.4V 800mAh LiPo Battery that is normally used in the Super Cub BL.

The Mini Cub's battery compartment is plenty big to fit the big Cub's battery, though it is easier to pop off the door and only use the velcro strap.

The extra battery weight is unnoticeable in flight and you get 25-35 minutes of flying time, depending on your power use.  The Mini Cub's 300mAh charger works fine with the 800mAh battery, but it takes 3.5 hours from empty to full.",2010-01-27,"Get the 7.4V 800mAh LiPo, instead",2010,Positive
5,"My review is in 2 parts, one for content (story, etc.), which contains spoilers, the other for gameplay, which does not contain spoilers (barely anyway).  At this point, I have completed the game twice (once on Insanity difficulty).  I currently have another playthrough where I am 2/3rds done, and several others that I have just started.  This review is entirely dependent on my experience with Mass Effect 1, and is a comparison, in order to point out the best features of both.  In general, I will start with the negatives for each component (content and gameplay), as these are important elements I want fixed for ME3, then I'll gently segue into the good stuff, then probably vacillate from there.  My one sentence summary: gameplay better than ME1, story worse.

1. Story (SPOILERS)
 - Relatable villain - There is no relatable (humanoid) villain in ME2.  ME1 had Saren, who was an awesome character with good writing and great voice acting.  ME2 only has the collector general. who becomes briefly relatable in the last seconds of the ending.  It has Harbinger, but he's (it's) just the Sovereign of this chapter.  The Illusive Man doesn't count, as he is more of an ally, but an untrustworthy one.  ME3 needs a humanoid, relatable bad guy, and Bioware really needs to deliver on this one.
 - Lack of Reaper ""evidence"" - It's ME2, Sovereign crashed into the Citadel in his death throes at the end of ME1, and no one still believes Commander Shepard that the Reapers are real?  REALLY!?  That's ridiculous.  The excuse with the Vigil VI scene is that Vigil on Ilos now has run out of batteries.  REALLY?!  Couldn't they recharge them?  Didn't Shepard or Tali record Vigil's message with an Omni-tool?  This is the most preposterous pill to swallow in ME2.  I will not tolerate this garbage in ME3.  I DO NOT WANT TO SPEND ANY TIME IN ME3 CONVINCING OTHER CHARACTERS THAT THE REAPERS ARE A REAL THREAT.  That's stupid, ridiculous, not believable, and hence bad story telling.  Everyone should recognize by ME3 the real Reaper threat, they may just think they can escape and don't have to fight it...
 Council - also, I shouldn't have to be fighting the Council so much in ME3, that's getting old too.
 Thane - lame character.  Any time he started talking about himself I just kept saying, ""don't care, don't care.""  He looks great, his voice acting is great (ALL voice acting in ME2 is great, even better than ME1), but the writing is just poor for his character.  As an assassin, he is a lame, movie stereotype assassin.  One character sends you a message that Thane moved ""like a dancer.""  Worst cliche ever.  On his loyalty mission (which was lame), he ""disappears"" just as a person walks past him.  Wow, he's that fast.  I've never seen that in a bad movie before.  All his business about dying and wanting to re-connect with his son... yawn.  I am making sure that this character dies on all my playthroughs, so I don't have to see him in ME3.
 Samara - Again, great voice acting.  Though I did hate her stupid outfit.  I'm a hetero guy, but I still don't care about seeing her stupid cleavage.  Her story is just not believable.  Mainly for this reason:  I simply do not buy that the asari, being as reasonable as they are, would have or allow Justicars (or anything like it) to exist in their culture.  This is too big an anomoly in asari culture for me to believe it.  I might believe it in the asari's distant past, but not something that still exists.  So I didn't buy into her motivations or story at all.  As such, I am killing Samara off in all my playthroughs as well.  This is really the only additional detail on the asari given in ME2, and I hate it.  I would like more asari culture details in ME3, but I'd like something believable that fits who they are.
 Music - not as good or as haunting as ME1.  I will not buy the ME2 soundtrack.  I have the ME1 soundtrack and listen to it all the time.  Later on in ME2, the music gets better.  Missing the Virmire Ride soundtrack for exploration in a vehicle.  I also miss the music from ME1 right after you kill Fist, on the way to save Tali (which is also replayed on Virmire).  This was my favorite track and really missed it on the ME1 CD soundtrack, would have been nice to hear it again in ME2.
 Loyalty - In general, many of the loyalty missions are all about fixing a side character's family problems.  Yawn.  Thane, Samara, Jacob, Miranda.  All lame loyalty missions, although at least the action was fun for Jacob and Miranda's.
 Squad-mate conflicts - Legion and Tali have one, Jack and Miranda have one, but why not Grunt and Mordin?  That's just... really weird and neglectful.  We finally get a salarian squad mate, and all the krogan seem to accept or ignore him without issue.  Weird.  Then again, the krogan don't seem to react to Garrus, a turian, either.  What gives?
 Ilium - in general, I found pretty much every mission on Ilium to be lame.  Then again in retrospect, I also found Noveria on ME1 to be the weakest main mission.  Maybe Bioware is having problems ""selling"" these kinds of environments, not sure.  In ME1, the problem was mainly pacing (and too many elevator rides!), in ME2, I just didn't care about all the stories that take place here.
 Liara- not sure what to think here.  Liara pulls a complete 180, and I'm not sure what to say.  It definitely seems completely unnatural for her, and unless I get an incredibly good explanation in ME3, I will look back at this part as unbelievable and stupid and something Liara would never do.  I since followed up and read the graphic novel, which fills in the gaps.  It's OK, but still not entirely convincing of Liara's change of character.
 Squad mates - they are generally cooler in ME1.  The promotional trailers for ME2 that featured the characters were lame and made the characters seem lame.  However, Mordin is awesome!  Give us more details on the salarians, please.  As much as you can.  I want to see more salarian info in ME3.  Grunt - Again, I didn't like him in the promo trailers, but he turned out to be a pretty cool character in the game.  The writing for him was good, and his dialogue can be pretty funny.  Still not as cool as Wrex though.  Bring back Wrex in ME3!  Zaeed Masani (downloadable free with collector's edition) is an awesome character: writing appearance, story, acting.  Great job.  Zaeed, Grunt, Mordin, Legion and Tali really received the best overall story details and awesome moments in this game.  I can't rave enough about Tali's recruitment and especially her loyalty mission.  I'd better see the Quarians role in all of this in ME3.  Best new characters have to be Zaeed, Legion, and Mordin, hands down.  Jack is pretty good, too.  But she would have been more convincing if she were more overtly powerful in gameplay.
 Dr. Okeer - OK, this guy is my favorite new character in all of ME2.  He is the ultimate krogan!  His speech is phenomenal.  To me, he is the real hero of ME2.  If you don't know what I mean, listen to his speech again and consider all the themes in ME and everything that's happened thus far.  To bad he had to die.
 ME3 Squadmates - I better have the choice to use all the ME1 squad mates who survived in ME3.  Also, ME3 should probably only have 1 or 2 new squadmates, at best.  The menu of choices across ME1 and ME2 is more than enough.  Do not bring back Ashley's penchant for poetry though, because that was a horribly portrayed and executed stereotype.  I know no one that I want to talk to who recites poetry in that lame a fashion.  No thanks.
 Tuchanka - best overall new planet, with Omega a close second to coolest new planet/location.  Hope we get more of the krogran story in ME3.
 Migrant Fleet - this experience was pretty cool.  I would also like to see more of the Migrant Fleet in ME3, but with a stronger focus on other aspects, as I think we have seen all we need to of their politics (though it was good).
 Priceless moments/really disappointing ones - After you kill the Thresher Maw and talk to Wrex, ""next you'll tell me he's a quint and craps dark matter.""  Hilarious dialogue!  Garrus on discussing his romantic encounter with a fellow military turian, ""I had reach, she had flexibility.""  That was pretty funny.  Joker's scene with EDI on the ship while it's being invaded by Collectors - awesome.  When Joker starts cursing, it's just priceless.  Cmdr. Shepard after Tali's trial, ""we can go back in there and still get you exiled if you want...""  Pretty funny.  Opening scene with the destruction of the Normandy, especially looking outside it's broken hull into space...  Mind blowingly awesome.  Dissappointment - Garrus' introduction is terrible.  His dialogue is bad in this scene, and he never looks at me!  He's looking at the ground or his boot the whole time he talks to me, that's terrible.  In general, Garrus gets so few lines in ME2, and that sucks.  Bring back more of the awesome Garrus I know in ME3.
 Nagging doubts/concerns - Why does Shepard work for Cerberus again, seriously?  After the stuff you saw them do in ME1, I just can't believe he'd do it.  I would expect Shepard to find and take out the Illusive man instead.  As for the plot, the build-up of this mission as a suicide mission seems kind of fake.  I say this because the stakes in ME1 seemed MUCH higher.  You're stopping the Reapers from wiping out all intelligent organic life.  ME2, you're stopping the Collectors from kidnapping/killing more human colonies, and eventually you find out, humans on earth.  This is definitely a smaller galactic scale.  Not to mention that in ME1, there is a chance that Sovereign could let in the whole reaper fleet...  The Collectors, although powerful, are just the middlemen.  Final fight with a ""human"" Reaper -- that looked really lame.  Why did they have to make it look so human?  How is that good Dreadnought ship design?  If reapers take the form of those they absorb, then are all Reapers rachni and keepers?  Cause that's what they look like.  How about a Thresher Maw Reaper?  That idea might work.  Anyway, the look of the Reapers should not be so literally tied to who they absorb.  They should explain the ""paste"" that organic beings get turned into before being made into Reapers a bit more.
 Story mechanics overall - despite some bad writing, story, and character choices, the mechanics for driving the story have been elevated considerably.  ME2 is great in delivering a truly interactive action story.  In ME3, they probably don't need any more story telling mechanics, just better story content.

2. Gameplay-
 Cover/Fire/Heal - The general cover and fire system is better in ME2, pretty much ripped straight from Gears of War, which is not a bad thing.  The element of staying in cover to regen health and shields is much better, rather than worrying about using Medigel all the time to heal (now you only use it to revive fallen comrades).
 Ammo Reload - However this system is an issue.  In gameplay terms, it's annoying that I have to find ammo clips, which are tough to see sometimes.  In terms of ME logic, it makes no sense!  Bioware should change it.  Previously, your gun overheated and there was no need for ammo clips.  Now, we are told that the reload must be done because the block of metal or whatever overheats and must be removed.  I'm fine with that, but I am not cool with having to ""insert"" another heat clip.  Why can't the heat be contained in a small block, so that I have to snap off a clip of overheated metal, but there's still plenty in the gun to keep firing?  Bioware, take out the unnecessary and annoying find a clip and reload, please!  Or go back to the ME1 overheat mechanic.
 Bugs - This game actually seems buggier in combat than ME1, which is not cool.  If I am near a badguy and either a barrel explodes or I use Warp, the explosion sometimes instantly transports me on top of a table or a bad guy, or just hovering in the air, and I can't get down!  The only way to get down is use the Vanguard's charge, but that's only if there's at least one opponent left that you can target and you're a Vanguard!  This kind of bug especially punishes players on Insanity difficulty because of the need to reload.  Bioware, don't let this happen in ME3!
 Bad Squad  AI - while talking about squad mates, how come they are so stupid and get killed all the time?  On Insanity difficulty, they seem especially stupid.  Grunt and Jack are billed as uber super cool bad-a**@s, but they never seem it, as they killed pretty easily, especially Grunt.  Conserving and using medi-gel becomes a huge part of an Insanity playthrough, and dumb squad-mate AI makes this very frustrating.  How hard is it for the AI to keep them behind cover?
 Targeting with powers - Powers now generally require aiming almost to the same degree as firing guns, this is AWFUL!.  Why should my Singularity or Pull ever miss when my enemy is highlighted in the Pause/Use Powers wheel/screen?  That's ridiculous.  I sometimes wind up targeting the floor, total BS, that shouldn't be possible.  Bioware needs to fix this.
 Biotic powers appearance - I HATE the Black n Blue ""Fireball"" that flies out of your hand whenever you use a biotic power!  Lame.  This isn't Dragon Age or D and D.  The dark fireball is fine for Singularity, but all other powers should look like they did in ME1!  (Charge and Shockwave look cool, though).
 Biotic power chaining - Power Recharge mechanic - Quick biotic power chaining with the same character is now a lot less possible, which is not cool!  This removes some of the fun factor, it needs to be added back.  Reduce recharge time on all biotic powers.  I want my adept to chain multiple combinations of different powers more easily.  I would like to point out that I do like how biotic powers magnify their damage if you use one power right after another.  Pull, then Warp.  The extra damage effect here is cool (and sometimes really bloody), and even makes a kind of sense.
 Charge and Shockwave are two awesome new powers.  However, from a content perspective, Charge has nothing to do with Dark Energy.  You are passing through solid matter, which clearly means you have become or are surrounded by Dark Matter.  Just a quibble, unless ME technology has always been based on DM and DE, and I missed it.  Always thought it was supposed to be based on DE though.
 3 main defenses - I don't like how the 3 defenses work as-is in ME2.  For ME3, Bioware should focus on bringing back some of the ME1 logic.  In ME1, everything is generated by a Mass Effect field, so anyone protected by one (of any kind, shield or ""barrier"" which was just an uber shield in ME1) should be affected by Warp.  I am OK with Warp working BETTER against a biotic barrier, but it should still do SOMETHING against a technological shield.  Likewise, Overload, since its supposed to be a combination of overload and sabotage from ME1, should work on anyone using technological weaponry!  A biotic barrier should not prevent this!  Again, I am fine with Overload working better against ""shields"" and robots, but it should always deal damage to someone using weapons (purely organic enemies with no weapons are the only ones who should be unaffected by Overload).  And Incinerate should be mostly blocked by barriers/shields, but SOME damage should still be done.  I am generally in favor of my approach rather than returning to ME1's mechanic/logic, as my suggestion still allows for ME2's strategy of power use, which I like.  It just needs to make more ME science sense!  Depsite the attempt at bifurcating Warp and Overload (and Barrier/shields), they still made Warp (and hence Warp Ammo) the uber power, as it destroys Barriers and armor really well.  Since there is less focus on synthetic enemies in this chapter, there is less focus on shields, and so Overload isn't as useful (even though it works great on unshielded synthetic enemies).  I intentionally used ""bifurcate"" even though, in the end, I am really talking about all 3 defenses and all 3 direct damage powers (and ammo types).  Overload/shield is the only one that can't hurt organic, unshielded enemies.  This makes Disruptor ammo, Overload, and Energy Drain useless in all the later main storyline missions, from Horizon onward.  When you know you're fighting the Collectors, these powers are practically worthless.
  Squad-matePowers - Your squadmates now only have two active powers (at most) and one passive class power.  They can unlock a fourth power, which is oftentimes an ammo power.  I realize Bioware was trying to simplify, but this is too much.  This power selection sometimes forces you to bring certain squadmates that I don't want to bring.  For slightly better versatility, they should give squadmates one more ACTIVE power (not a passive nor an ammo power, unless the character does not have an ammo power yet). There should also be a way to ""re-spec"" your squad-mates powers in case you made a mistake.
 Leveling-up -- In a way, ME2 is better on this.  It is better to receive XP at the end of a mission, so it doesn't break up the action, that change makes sense.  What doesn't make sense is having it cost 10 xp to max out a power, but you need to spend 1, 2, 3, or 4 points in one shot!  There are only 4 levels of power for each talent.  Why do I have to have unspent points floating around in my Squad screen?  This is just stupid!  Why didn't Bioware just make each talent have 10 ""levels"" of power, but the only meaningful increases in power are at levels 1, 3, 6, and 10?  The math would work out EXACTLY the same, but you wouldn't have to deal with unspent points.
  Concussive Shot - Who took my BOOMSTICK away?  Seriously, the shotgun was the most fun weapon in ME1, because when you used Carnage to fire the big blast, you FELT the giant kickback from the vibrating controller.  Concussive Shot does not have this, making the Soldier even more lame to play.  Bioware, you must add this back!  Make the soldier fun!  His only active powers are adrenaline rush and concussive shot.  Give me my BOOMSTICK back.  Feedback is necessary.
 New Vehicle - OK the new downloadable vehicle handles much better for driving.  However, the combat with it is just (if not more) iterative and boring!  Why can't Bioware make vehicular combat more interesting?  Firing the same missile and strafing all the time is really boring.  Why not remove vehicle combat altogether, and make the vehicle a purely exploratory experience?  Not sure why, but this new vehicle does not give me the fun ""moon rover"" experience that the Mako did.  Probably because the levels have less of an area to explore than in ME1, and because the song ""Virmire Ride"" was not in ME2's soundtrack.  That's Blasphemy!  put that song back in.  They also need at least 5-10 optional planet missions, where you explore a vast expanse!  They could even add more of these planet missions as extra DLC.
 Armor Customization - The good thing is the removal of the cumbersome inventory.  Great job, Bioware.  Unfortunately, more customization options are still needed.  The appearance of your armor should not be affected by the stat boost you receive from the item!  In short, appearance and mechanical effect should be separate mechanics.  You should be able to make your armor look however you want, regardless of the effects the pieces of armor have.  When you purchase armor upgrade modules, they should be like different batteries or SIM cards that put in your armor, they have a mechanical effect only.  Browsing through your appearance for your armor and its effects should be done in the same menu, though.  With this mechanic, I could have my armor look however I want, but still have it boost my health by 10% and my shieds by 10%, or whatever boosts I choose to equip at that time (there would still be a limit to the number of mechanical boosts you could get to your armor).  Again, we need more choices in how Shepard's armor looks.  Also, the ""bonus"" armors should NOT force you to wear the helmet everywhere!  This defeats the purporse of wearing the special armors.  I only had to wear my N7 helmet on the Collector ship and certain other missions, why should have to wear the Terminus helmet everywhere?  That makes no sense.
 Paragon/Renegade - mechanic - they now made your ability to change the story independent from your skill point selection.  This is definitely the better choice, great job.  The interrupt dialogue mechanic is great.  Nothing to change here.
 Graphics - phenomenal.  The opening scene on the Normanday is crazy, and awesome.  Later in the game, my roommate was watching me play and commented ""wow, that alien looks real.""  He was talking about Mordin Solus.
 Omega - looks and sound awesome!
 Focused, ""targeted"" missions - I like how I don't need to search through a mission to find all the upgrades, they are mostly along the way.  This means limited need to roam for long periods on foot.  That's general good.  In general, the mission design is great in ME2, the action is awesome.
 Limited exploration - on the flip side, on foot exploration of the Citadel in ME1 was awesome, and I wish they would put in one location (maybe the rebuilt citadel?) in ME3 that you can explore on foot.  But it should just be one central kind of location.  Generally, in missions, they got it right in ME2, though.
 Elevators - I am SO sick of elevators.  Why are they still here?  Bioware needs to get rid of them so I don't have to ride one and wait through a loading screen just to talk to one of my squadmates!  Agghhh!
 Thresher Maw fight/Grunt - this was a huge let down.  They just made it a long, iterative battle.  It feels like the iterations of hits you execute when fighting any fight on Insanity difficulty.  Why can't they do something more dramatic?  Why couldn't Grunt be as awesome as he was in the ME2 trailers?  OK, that good would have made the thresher fight kind of lame, but he needs to be more awesome.  Grunt should have a devasting charge attack (as an activated power -- all krogan should), maybe one that forces a slow motion sequence (you could abort the slow-mo cam with a button press?).  Right now in ME2, Grunt's charge is kind of weak, and Grunt dies too easily.  And for the Thresher Maw, you should be able to get closer.  If you can't kill him in a minute, he either eats you, or runs away if you hurt him bad enough.  You should really have to use terrain in cool ways (like climbing up on high objects) to get a good position on him.  Then maybe Grunt would get close and grapple, shooting it point black or attaching grenades to his flesh.
 Upgrade System - the method of searching planets to get resources you need to upgrade weapons, is generally lame.  To date, I believe the recent patch on the 360 has sped up the process, it seems so.  Good job Bioware if its true.  It took WAY too long.  Now it's vaguely reasonable.  The game should stil require less time spent on this.  Lastly, they need to remove the ""Uncharted Worlds"" theme music from this minigame.  Mainly because Bioware completely ruined that great music soundtrack, because now when I listen to it in absentia, I always ""hear"" the intrusive probe-launching sound effects and EDI's voice in my head.  They should keep that music for movement within the galaxy console only.  They can use different music for the planet scans.  Sometimes, I do get sucked into the planet scanning experience, like others have said.  But that's only because of the great graphics and the basic lulling effect of the song.  But it's not worth it to annoy the fans with a lame minigame, and to ruin Uncharted Worlds.
 Final mission - The squad selection for certain parts was not obvious and kind of stupid.  Why wouldn't Mordin be good at navigating the tunnels in the Collector base?  He's billed as a salarian scientist genius who's great at surviving.  He should have been  a valid choice for this part.
 Load times - are generally pretty long and bad.  Switching disks - annoying, but it was so rare, I didn't really care.",2010-07-25,"gameplay better than ME1, story worse.",2010,Negative
3,"Overall, I'd say the game mechanics are definitely an improvement over the 1st FEAR. Not by a lot, but definitely better. Some parts weren't as creepy, but parts of the school definitely creeped me out.

The Good
- Interesting storyline keeps you involved... mostly.
- Slightly improved control options from the 1st FEAR.
- DLC provides some additional paying time, although I didn't think it was quite worth $8 or whatever I paid.
- Directional audio much improved over 1st FEAR.

The Bad
- CONTROLS STILL SUCK!!! As I've said in some of my other reviews, if you're going to make the controls different from almost every single other FPS, give us the option to customize the controls!!!
- DLC is a bit short and not very challenging for the cost.
- Ending storyline wasn't very engaging... didn't care for it at all, actually.
- Still poor frame rates.
- The two times I tried, there was no one playing online.
- If you care about trophies, there are a few that you can only get by playing online and playing the DLC campaign.

It's worth a buy at $20 or less. DLC should be priced closer to around $5.",2010-03-28,"3.5 Start - Fun campaign, poor online experience",2010,Neutral
5,"Though the NES was better and had better games, this SMS was an awesome home console.  The color was slightly better then the NES and it had some really unique top notch games. Ah memories.",2010-01-04,Great system,2010,Positive
3,"This will be short review:

Pros:
Good Graphics
Good Sound/Music
Good Controls
Good Creepy/Scary Factor

Cons:
Hard even on normal setting
The game doesnt even try to help you understand how to figure out puzzles (use the many Youtube videos for help)
The monsters are very annoying
Not worth 2nd play through
No coop
Bottom line its just wasn't as fun as RE5

Got it cause it was cheap at bestbuy 20 bucks",2010-11-17,Not better than Resident Evil 5,2010,Negative
5,"I owed fifa 09 and did not like the game it seamed to easy yo run passed players and the ball did not fell like a ball.  Fifa 10 is the best game I have played on the psp the ball reacts alot better the gameplay is great.  I have played this game longer that any other game the difficulty levels are perfect. The only glitch I found was when I drew FA cup matches you would play replay after replay not extra time.

gameplay 5
graphics 4
sound  5",2010-06-24,Best psp yet big improvement on fifa 09,2010,Positive
5,"This is a great resident evil game, faithful to the preview history. The graphics are great. This is a very good game, a must have.",2010-09-11,Resident evil: Code Veronica,2010,Positive
1,"EA will take you money as they did mine, and give you a half finished game with bugs, server disconnects, bad interface and user experience, soo.. in the online There is a problem in the server and a lot of mistakes, for example

1-When you choose weapons there delay switch

2-When you enter the building you find yourself outside the building

3-When you use the knife you need to hit the enemy twice to kill him and some times once

4- the game need to be updated

5-single player mode is in just over 3 hours

in 12th March, and Saturday, 13th March EA install extra hardware to improve your online experience
sooo...  There is no change .

At this time do not buy until problems are fixed.",2010-03-02,Battlefield  of  LaaaaaaG,2010,Negative
5,"Now that the game has been patched after PS3 OS 3.3, I've gone back and am thoroughly enjoying it!  Very good story line although it takes a little time to catch up on things at first.",2010-06-01,Excellent RPG,2010,Positive
5,"If you're new to the series & have just started with Rock Band 3, buy this game for the setlist alone! You can import the RB2 songs into RB3. It's a one time fee to do so, but oh so worth it. The music is excellent & the game is rock solid. You can literally squeeze 500 - 1,000 hours of entertainment out of this thing! No lie.",2010-11-01,Buy it!,2010,Positive
5,"If you own a PS3 you know by now that the included USB cable to recharge the controller's battery is a joke. It is way too short, which will be a problem if you are playing and need to recharge the battery while doing so as it will force you to sit closer to the PS3 so the thing stays connected.

There are alternatives of course, battery chargers or even a laptop, when my laptop was around an on I would plug the controller to it so the battery could be recharged without having to connect it to the PS3. convenient as that may sound, my laptop is not always with me while playing. A while ago, I was in the middle of the final fight in the latest Castlevania game for PS3 and had to recharge the battery, I had to sit on the floor and stay close to the PS3 by using the small cable included with the PS3, not cool! That is pretty much what made me look for another alternative and I ended up ordering these.

These are simply great. The USB connectors are gold plated and the cable itself, besides being longer than the default ones, is made of a more resistant material. The best part? Two cables are included! I can really tell you these are really worth their price, the price I paid is nothing next to the convenience they offer.

I understand you may get a cheaper version if you buy non-official Playstation 3 products,  but I can tell you these offer real value for the money.",2011-03-03,There are alternatives... but these rock!,2011,Positive
5,"All the Sims games are used constantly, and this is the newest addition to our collection.  It's only just started being played, but the reaction of the kids to this game is phenomenal.",2011-04-24,A fantastic game!,2011,Positive
5,"I must say, this is a surprisingly good addition to the series.  The controls are very well tuned to the system and quite intuitive.  The graphics are astounding for a portable system, I'd say they are about on par with the xbox 360 version.  Chronicle mode is very good for someone (like me) that came to the series halfway through it, and it has all the other modes to enjoy as well.  Personally I have to turn off the 3d when the fights start, but all of the fast action games on this console require that in my case.  This is a very fun game in it's own right, and should be considered a required addition to any DOA fan's collection.",2011-12-06,Excellent addition to the series,2011,Positive
